Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,loss
31-Mar-18,New Jersey,Asbury Park,Atlantic Ave and Monmouth Ave,0,5,N/A,5
29-Mar-18,Texas,Plano,7401 Alma Dr,1,3,N/A,4
29-Mar-18,New Jersey,Camden,Kaighn Ave and Haddon Ave,0,4,N/A,4
24-Mar-18,Utah,Salt Lake City (West Valley City),3180 South 5600 West,0,4,N/A,4
21-Mar-18,California,San Francisco,949 Geneva Ave,1,5,N/A,6
17-Mar-18,Kentucky,Louisville,2928 W Kentucky St,0,7,N/A,7
17-Mar-18,Illinois,Harvey,16700 S Halsted St,0,4,N/A,4
13-Mar-18,Florida,Macclenny,South Blvd,0,4,N/A,4
12-Mar-18,California,Modesto,2000 block of Robertson Rd,0,4,N/A,4
11-Mar-18,Illinois,Champaign,700 block of N Hickory St,1,3,N/A,4
11-Mar-18,Michigan,Saginaw,Cumberland Ave and Hess St,0,5,N/A,5
9-Mar-18,North Carolina,Wadesboro,1300 E Caswell St,3,1,N/A,4
9-Mar-18,Indiana,South Bend,800 block of E Dayton St,0,6,N/A,6
7-Mar-18,Alabama,Hurtsboro,531 Main Street,2,2,N/A,4
4-Mar-18,Illinois,Rockford,400 Howard Ave,1,4,N/A,5
3-Mar-18,Florida,Miami,1300 Block of NW 62nd Ln,0,4,N/A,4
3-Mar-18,New York,Brooklyn,Kings Highway and Utica Avenue,1,3,N/A,4
27-Feb-18,Connecticut,Bridgeport,1306 Stratford Ave,0,4,N/A,4
26-Feb-18,Michigan,Detroit,22000 block of Fenkell Ave,5,0,N/A,5
23-Feb-18,Florida,Palm Beach Gardens (Riviera Beach),W 23rd St,1,3,N/A,4
18-Feb-18,Texas,San Antonio,2893 Cinema Ridge,0,5,N/A,5
17-Feb-18,Kansas,Kansas City,1615 Minnesota,1,7,N/A,8
17-Feb-18,Tennessee,Memphis,3188 N Watkins Ave,0,5,N/A,5
16-Feb-18,Oklahoma,Oklahoma City,S Pennsylvania Ave and SW 15th St,1,3,N/A,4
14-Feb-18,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,N/A,34
13-Feb-18,Louisiana,New Orleans,5400 block of Andry Street,2,3,N/A,5
11-Feb-18,Michigan,Detroit,19432 Lamont Street,4,3,N/A,7
10-Feb-18,Kentucky,Paintsville,413 Mill Street,5,0,N/A,5
7-Feb-18,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,N/A,6
5-Feb-18,Colorado,Colorado Springs,4225 Galley Rd,2,4,N/A,6
3-Feb-18,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5,N/A,6
31-Jan-18,Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4,N/A,4
